,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
0,366785290,2021-02-04 01:58:41,33.749020465008144,-118.11383,0.0,11.9,511.0,MANDALAY,,WDG4601,37.0,,15.0,,,,B
1,367033480,2021-02-04 01:58:41,33.29957333333333,-118.34817893939395,6.8,289.0,511.0,CRYSTAL SEA,IMO0000000,WDC4959,30.0,,20.0,6.0,,,B
2,367724740,2021-02-04 01:58:41,33.76242433333333,-118.195387,0.0,0.8,511.0,LA ESPADA,IMO8793328,WDI7035,60.0,15.0,,,,,A
3,366932980,2021-02-04 01:58:41,33.7708702186555,-118.21178978134449,0.0,19.1,66.0,DREW FOSS,IMO7626217,WYL5718,31.0,5.0,38.0,10.0,4.2,,A
4,367691660,2021-02-04 01:58:41,33.748773119266055,-118.11409688073394,0.0,262.5,511.0,BIBI,,WDI3764,37.0,7.0,19.0,5.0,,,A
5,338228649,2021-02-04 01:58:41,33.75112918158568,-118.11286040920716,0.1,360.0,511.0,COLLEEN JR.,IMO0000000,,37.0,,14.0,6.0,,,B
6,311603000,2021-02-04 01:58:41,33.71490519069768,-118.14439890697675,0.2,146.9,205.0,NAT GEO ORION,IMO9273076,C6TE3,60.0,1.0,102.0,14.0,3.8,,A
7,371274000,2021-02-04 01:58:41,33.75329080967892,-118.23596979758027,0.0,353.5,250.0,,,,,5.0,,,,,A
8,241501000,2021-02-04 01:58:41,33.62591042335426,-118.05149978832287,0.0,208.4,298.0,,,,,1.0,,,,,A
9,372361000,2021-02-04 01:58:41,33.72988064200977,-118.22601064200978,0.1,62.3,225.0,ALBION BAY,IMO9496989,3FLD3,70.0,1.0,197.0,32.0,12.7,,A
10,353162000,2021-02-04 01:58:41,33.7436,-118.19543020939973,0.0,145.0,270.0,MSC BEATRICE,IMO9399014,3FUF2,70.0,5.0,366.0,51.0,15.6,,A
11,338083011,2021-02-04 01:58:41,33.74872006978367,-118.1139100930449,0.3,141.2,511.0,OFFLINE,,,37.0,,19.0,,,,B
12,367621160,2021-02-04 01:58:41,33.72464,-118.28079,0.0,360.0,511.0,FREEDOM,,WDH4766,60.0,0.0,24.0,7.0,,,A
13,249414000,2021-02-04 01:58:41,33.75903209253662,-118.27698916298534,0.0,300.6,37.0,ZIM SAO PAOLO,IMO9389681,9HRL9,70.0,5.0,260.0,32.0,12.6,70.0,A
14,367733880,2021-02-04 01:58:41,33.72366354545454,-118.07131,0.0,360.0,511.0,HIGH PRYORITY,,WDI7956,37.0,0.0,,,,,A
15,367309390,2021-02-04 01:58:41,33.771609586046516,-118.21188020697674,0.0,245.9,147.0,PACIFIC FREEDOM,IMO7047708,WDD9283,31.0,5.0,34.0,9.0,3.8,52.0,A
16,367642570,2021-02-04 01:58:41,33.29990923076923,-118.34612727810651,7.7,293.9,290.0,ALICE ANNE,,WDH6886,30.0,,,,,,B
17,367133910,2021-02-04 01:58:41,33.76548345454545,-118.2555830909091,0.0,267.3,511.0,BETHEL F GIFFORD,,WS9087,90.0,0.0,22.0,7.0,,,A
18,367397250,2021-02-04 01:58:41,33.31456081841432,-118.39545979539642,0.2,337.3,511.0,CAPE BLANCO,IMO8886618,WDE7758,30.0,,22.0,7.0,,,B
19,367647270,2021-02-04 01:58:41,33.735036756756756,-118.27100675675676,0.0,315.1,511.0,JOHN HENRY,IMO8978174,WDH7347,60.0,0.0,29.0,7.0,,39.0,A
20,368024590,2021-02-04 01:58:41,33.72400040930233,-118.28090020465118,0.1,341.7,511.0,BOTTOM SCRATCHER,IMO0000000,WDJ9293,34.0,,21.0,6.0,,,B
21,367422010,2021-02-04 01:58:41,33.7476561983471,-118.27088619834711,0.0,360.0,511.0,,,,,3.0,,,,,A
22,372955000,2021-02-04 01:58:41,33.60745683794467,-118.02536960474308,0.2,162.1,278.0,MOL EXPERIENCE,IMO9333838,3ELI7,70.0,1.0,294.0,32.0,13.5,,A
23,366979370,2021-02-04 01:58:41,33.77056943344081,-118.21252018885306,0.0,295.8,248.0,EDITH FOSS,IMO7932355,WYQ8798,31.0,5.0,23.0,8.0,,,A
24,229622000,2021-02-04 01:58:41,33.66002,-118.14968941957255,0.0,176.0,269.0,MSC TRIESTE,IMO9484479,9HA3459,70.0,1.0,365.0,48.0,16.0,,A
25,373285000,2021-02-04 01:58:41,33.742798474418606,-118.27387942790698,0.0,194.4,207.0,,,,,5.0,,,,,A
26,367368180,2021-02-04 01:58:41,33.72563046153846,-118.22100707692307,5.3,60.5,511.0,CHRISTY S,,WDE5537,60.0,,19.0,5.0,,,B
27,370587000,2021-02-04 01:58:41,33.75768056655919,-118.25986924458775,0.0,72.8,37.0,HENRY HUDSON BRIDGE,IMO9302176,3ETK4,70.0,5.0,336.0,45.0,14.0,,A
28,367049470,2021-02-04 01:58:41,33.762707155963305,-118.26564,0.0,325.6,511.0,STEPHEN M WHITE,,WCU6542,90.0,15.0,15.0,4.0,,,A
29,477219900,2021-02-04 01:58:41,33.761040074453234,-118.21420970218706,0.0,80.8,0.0,,,,,5.0,,,,,A
30,367676070,2021-02-04 01:58:41,33.76210984178688,-118.18268,0.0,0.0,511.0,TUAMOTU,,WDI2235,37.0,,,,,,B
31,367657060,2021-02-04 01:58:41,33.73088008608656,-118.27739,0.0,0.8,511.0,SEA VENTURE,,WDH8347,30.0,,22.0,,,,B
32,367599960,2021-02-04 01:58:41,33.72066015355979,-118.27817992322011,0.0,359.6,511.0,THE REAGAN YEARS,,WDH2666,37.0,,14.0,4.0,,,B
33,367308610,2021-02-04 01:58:41,33.77154,-118.21156780730895,0.0,227.0,247.0,SARAH C,,WDD9226,31.0,5.0,19.0,6.0,,31.0,A
34,373828000,2021-02-04 01:58:41,33.75927,-118.21754,0.0,203.0,158.0,CREST NAVIGATOR,IMO9610224,3EYT3,70.0,5.0,176.0,28.0,10.7,70.0,A
35,636018560,2021-02-04 01:58:41,33.678,-118.136,0.1,338.0,272.0,SEALAND GUAYAQUIL,IMO9383259,A8QP3,71.0,1.0,209.0,30.0,9.6,70.0,A
36,241618000,2021-02-04 01:58:41,33.7726000744186,-118.2208,0.0,243.0,237.0,,,,,5.0,,,,,A
37,367506190,2021-02-04 01:58:41,33.72427,-118.28153006739132,0.0,360.0,511.0,THALASSA,,WDF9539,37.0,,15.0,,,,B
38,338322293,2021-02-04 01:58:41,33.72713,-118.07531993260517,0.0,360.0,511.0,SEAS THE DAY,IMO0000000,,37.0,,12.0,4.0,,,B
39,367702780,2021-02-04 01:58:41,33.761514594594594,-118.21874,0.0,260.9,312.0,SARAH,IMO9824887,WDI4859,31.0,0.0,23.0,,,,A
40,338240395,2021-02-04 01:58:41,33.72352,-118.28123906666667,0.0,340.3,511.0,TIDAL WAVE,,,37.0,,,,,,B
41,338364968,2021-02-04 01:58:41,33.761789939492665,-118.18465,0.0,360.0,511.0,BRISA,IMO0000000,,36.0,,12.0,4.0,,,B
42,367044560,2021-02-04 01:58:41,33.72159,-118.27136851851851,0.0,198.0,511.0,PHINEAS BANNING,,WCT8646,,15.0,15.0,4.0,,,A
43,367393270,2021-02-04 01:58:41,33.56738579439252,-118.11762794392524,16.0,331.9,511.0,NICHOLAS L,,WDE7436,90.0,0.0,30.0,6.0,,53.0,A
44,338392952,2021-02-04 01:58:41,33.84792,-118.39592926336377,0.0,360.0,511.0,IDLER,IMO0000000,,37.0,,10.0,3.0,,,B
45,338304692,2021-02-04 01:58:41,33.84804,-118.39813005347592,0.0,22.0,511.0,SECOND WIND,IMO0000000,,36.0,,10.0,3.0,,,B
46,367719640,2021-02-04 01:58:41,33.540865585585586,-118.27875621621621,8.1,190.4,194.0,CATALINA PROVIDER,IMO8793562,WDI6530,70.0,0.0,,,,,A
47,338926431,2021-02-04 01:58:41,33.725470188073395,-118.26945,0.0,89.4,161.0,,,,,5.0,,,,,A
48,370407000,2021-02-04 01:58:41,33.76156109090908,-118.27406163636363,2.4,18.4,199.0,MOL CONTINUITY,IMO9388352,3ESS2,70.0,0.0,320.0,46.0,14.5,73.0,A
49,367101530,2021-02-04 01:58:41,33.841850702173915,-118.39153929782609,0.1,181.1,511.0,CARIBE ALLIANCE,,WDI9216,90.0,5.0,19.0,6.0,,53.0,A
50,338319661,2021-02-04 01:58:41,33.84536860465117,-118.39637,0.0,360.0,511.0,THE DOG HOUSE 2,IMO0000000,,36.0,,14.0,4.0,,,B
51,338209606,2021-02-04 01:58:41,33.72532093750001,-118.07653187500001,0.0,329.8,511.0,TELESTO,,,37.0,,,,,,B
52,215189000,2021-02-04 01:58:41,33.723670088392645,-118.22677013258898,0.0,248.2,221.0,,,,,1.0,,,,,A
53,366760710,2021-02-04 01:58:41,33.76742909090909,-118.21711,0.0,267.3,511.0,REDONDO,,WCD3906,60.0,0.0,18.0,7.0,,,A
54,338186834,2021-02-04 01:58:41,33.75127,-118.11033004649002,0.0,18.3,511.0,T/T VIRGINIA LEE,,,37.0,,,,,,B
55,565032000,2021-02-04 01:58:41,33.76455,-118.27751933554818,0.0,260.0,334.0,WAN HAI 312,IMO9248693,S6AS6,70.0,5.0,212.0,32.0,11.5,79.0,A
56,338368009,2021-02-04 01:58:41,33.845850044196325,-118.39610004419633,0.0,360.0,511.0,DISAPPEARANCE,IMO0000000,,37.0,,24.0,6.0,,,B
57,367760290,2021-02-04 01:58:41,33.74759,-118.21567702970297,0.0,233.4,283.0,FIREBOAT 15,,WDJ2641,90.0,0.0,,,,,A
58,367550710,2021-02-04 01:58:41,33.72982008835154,-118.27696986747269,0.0,138.8,511.0,TRITON,,WDG5828,30.0,,,,,,B
59,338139212,2021-02-04 01:58:41,33.84702992093023,-118.39726996046512,0.0,212.2,511.0,INCOMMUNICADO,,,37.0,,15.0,,,,B
60,356289000,2021-02-04 01:58:41,33.731339707044874,-118.25104024412927,0.0,210.9,70.0,,,,,5.0,,,,,A
61,368064650,2021-02-04 01:58:41,33.723665465838515,-118.27974639751552,0.0,360.0,511.0,,,,,15.0,,,,,A
62,372218000,2021-02-04 01:58:41,33.667460158066014,-118.1094100395165,0.0,195.0,267.0,NYK VEGA,IMO9312781,3EIJ5,70.0,1.0,338.0,45.0,-12.6,70.0,A
63,338160088,2021-02-04 01:58:41,33.7519638,-118.11114,0.0,30.4,511.0,SEA FOX,,,37.0,,13.0,,,,B
64,338311935,2021-02-04 01:58:41,33.75909002790049,-118.18506,0.0,122.5,511.0,SEAFOX,IMO0000000,,36.0,,16.0,6.0,,,B
65,338369616,2021-02-04 01:58:41,33.75259,-118.10968,0.0,55.1,511.0,SEASCAPE,IMO0000000,,37.0,,0.0,0.0,,,B
66,366755020,2021-02-04 01:58:41,33.74024027777778,-118.27814027777778,0.0,334.0,511.0,ADMIRAL,IMO9188544,WCY6529,31.0,0.0,31.0,10.0,3.4,52.0,A
67,538008861,2021-02-04 01:58:41,33.73142,-118.21120008145218,0.0,133.0,254.0,SEAWAYS GUAYAQUIL,IMO9389837,V7A2846,80.0,1.0,228.0,32.0,-11.4,80.0,A
68,636017896,2021-02-04 01:58:41,33.75837330434783,-118.26188267826087,0.1,194.5,218.0,SANTA VALENTINA,IMO9812482,D5NF5,70.0,5.0,,,,,A
69,367793650,2021-02-04 01:58:41,33.7199,-118.27874994883722,0.0,313.6,511.0,BLOW ME,IMO0000000,WDJ6029,36.0,,14.0,8.0,,,B
70,368117820,2021-02-04 01:58:41,33.761500016279065,-118.19226004883721,0.0,253.5,511.0,VOYAGER,IMO0000000,WDL3042,36.0,,13.0,4.0,,,B
71,477857000,2021-02-04 01:58:41,33.73921014883721,-118.2150099255814,0.1,83.3,237.0,SAGA SPRAY,IMO9014078,VRWW5,70.0,1.0,199.0,30.0,11.8,,A
72,367507960,2021-02-04 01:58:41,33.77180981981982,-118.21160072072072,0.0,281.0,511.0,185 3,,WDF9705,90.0,3.0,54.0,,,,A
73,367004260,2021-02-04 01:58:41,33.74399963302752,-118.20456073394496,0.0,341.3,511.0,CABRILLO,,WBU7354,60.0,0.0,18.0,7.0,,,A
74,256937000,2021-02-04 01:58:41,33.736849967441856,-118.19280008139536,0.0,28.0,90.0,COSCO BEIJING,IMO9308508,9HA4041,70.0,5.0,350.0,42.0,14.5,,A
75,367014480,2021-02-04 01:58:41,33.7672,-118.22042136363638,0.1,205.2,511.0,DURANGO,,WDC3807,31.0,0.0,18.0,7.0,,52.0,A
76,374645000,2021-02-04 01:58:41,33.62659,-118.08406,0.0,227.3,272.0,,,,,1.0,,,,,A
77,338334114,2021-02-04 01:58:41,33.84695,-118.3986,0.1,360.0,511.0,RBFD BOAT 63,IMO0000000,RBFD63,37.0,,10.0,4.0,,,B
78,338376344,2021-02-04 01:58:41,33.72028,-118.06538,0.7,0.0,207.0,AFFLICTION,IMO0000000,,37.0,,0.0,0.0,,,B
