,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
0,538005018,2021-04-06 01:49:29.500,32.59854018867924,-117.34575094339621,17.8,260.4,263.0,GLOVIS COMPANION,IMO9460899,V7AK9,70.0,0.0,199.0,32.0,9.7,70.0,A
1,368926266,2021-04-06 01:49:29.500,32.63162136363637,-117.2947559090909,4.7,262.6,511.0,US WARSHIP 26,,,0.0,0.0,207.0,32.0,0.0,0.0,A
2,369970406,2021-04-06 01:49:29.500,32.57112294117647,-117.30343745098038,9.5,277.4,511.0,ABRAHAM LINCOLN,,NABE,90.0,0.0,333.0,76.0,,35.0,A
3,368007060,2021-04-06 01:49:29.500,32.62681049833887,-117.13469983388704,0.0,360.0,511.0,HEART BEAT,IMO0000000,,36.0,,10.0,4.0,,,B
4,338107003,2021-04-06 01:49:29.500,32.66698,-117.24425,0.0,0.0,511.0,REEL GRACE,,,37.0,,19.0,5.0,,,B
5,367059270,2021-04-06 01:49:29.500,32.62506606161532,-117.13086606161532,0.0,247.3,511.0,SEA VENTURE,,WDC6661,37.0,,21.0,5.0,,,B
6,338327349,2021-04-06 01:49:29.500,32.618954451476796,-117.13222867088608,0.0,360.0,511.0,LISA KAY,IMO0000000,WDE8316,37.0,,20.0,6.0,,,B
7,338126043,2021-04-06 01:49:29.500,32.62545,-117.13566,0.0,0.0,511.0,QUIT-N-TIME,,,37.0,,10.0,,,,B
8,338301944,2021-04-06 01:49:29.500,32.61901386666668,-117.13175806666666,0.0,203.8,511.0,WIRED,IMO0000000,,37.0,,19.0,6.0,,,B
