,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
0,367593050,2021-04-05 01:58:53.500,34.14777,-119.20294675496689,0.0,55.0,270.0,SIMONE BRUSCO,IMO9748980,WDG9967,31.0,15.0,24.0,8.0,,31.0,A
1,367189890,2021-04-05 01:58:53.500,34.14867,-119.20267,0.0,280.0,270.0,ADELE ELISE,IMO9383792,WDD7691,90.0,5.0,67.0,16.0,4.9,70.0,A
2,368019930,2021-04-05 01:58:53.500,34.14783574074074,-119.20301425925926,0.0,117.7,267.0,TERESA BRUSCO,,WDJ8801,52.0,0.0,24.0,10.0,3.2,52.0,A
3,368926530,2021-04-05 01:58:53.500,34.153492244224424,-119.20826673267327,0.0,53.5,1.0,RANGER,IMO9842231,NRGR,40.0,5.0,57.0,10.0,3.0,40.0,A
4,367008010,2021-04-05 01:58:53.500,34.14795,-119.20244,0.0,144.7,511.0,ROLAND BRUSCO SR,,WDC3448,31.0,5.0,18.0,6.0,,52.0,A
5,367308610,2021-04-05 01:58:53.500,34.14872,-119.20170971162791,0.0,293.5,267.0,SARAH C,,WDD9226,31.0,5.0,19.0,6.0,,32.0,A
6,338955000,2021-04-05 01:58:53.500,34.153250534883725,-119.21001946511628,0.0,156.2,155.0,INDEPENDENCE,IMO8507016,KBGR,70.0,5.0,55.0,12.0,4.1,99.0,A
7,563458000,2021-04-05 01:58:53.500,33.95309,-119.08862,10.5,119.8,117.0,MAERSK NESTON,IMO9215907,9V3532,70.0,0.0,209.0,30.0,11.5,70.0,A
8,367507960,2021-04-05 01:58:53.500,34.14314,-119.2143322018351,0.1,288.9,511.0,185 3,,WDF9705,90.0,3.0,54.0,,,90.0,A
9,354625000,2021-04-05 01:58:53.500,33.97865,-119.06263,8.7,302.4,306.0,MSC CAMILLE,IMO9404651,3FQT9,70.0,0.0,365.0,51.0,16.0,71.0,A
