,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
0,367467120,2021-01-05 01:58:18.500,33.84182106666667,-118.39217,0.0,234.0,511.0,AVA FOSS,,WDF5779,60.0,5.0,18.0,5.0,,60.0,A
1,368129380,2021-01-05 01:58:18.500,33.720564485049835,-118.27743,0.0,360.0,511.0,HANALEI,IMO0000000,WDL4225,36.0,,13.0,8.0,,,B
2,367004260,2021-01-05 01:58:18.500,33.7440375,-118.20455749999999,0.1,234.4,511.0,CABRILLO,,WBU7354,60.0,0.0,18.0,7.0,,,A
3,338324182,2021-01-05 01:58:18.500,33.76693,-118.25141,0.0,360.0,511.0,PURITAN,IMO0000000,WDL8229,37.0,,18.0,6.0,,,B
4,366903130,2021-01-05 01:58:18.500,33.7216864,-118.27855093333334,0.0,28.6,511.0,THIRD WISH,,WDB4855,37.0,,16.0,4.0,,,B
5,351848000,2021-01-05 01:58:18.500,33.64818454545455,-118.16132327272729,5.8,355.5,351.0,MSC KATIE,IMO9467457,3FMO6,70.0,0.0,365.0,48.0,15.5,,A
6,367642530,2021-01-05 01:58:18.500,33.762038796296295,-118.21946490740741,7.5,336.4,511.0,BO BRUSCO,IMO9772917,WDH6880,31.0,0.0,23.0,8.0,,,A
7,367647270,2021-01-05 01:58:18.500,33.73501081818182,-118.27101945454545,0.0,256.4,511.0,JOHN HENRY,IMO8978174,WDH7347,60.0,0.0,29.0,7.0,,39.0,A
8,366755020,2021-01-05 01:58:18.500,33.73990981651376,-118.27817018348624,0.0,250.8,190.0,ADMIRAL,IMO9188544,WCY6529,31.0,0.0,31.0,10.0,3.4,52.0,A
9,368024740,2021-01-05 01:58:18.500,33.74724,-118.21564881188118,0.0,207.9,511.0,,,,,15.0,,,,,A
10,338926432,2021-01-05 01:58:18.500,33.72494,-118.26926,0.0,316.8,161.0,,,,,0.0,,,,,A
11,367014480,2021-01-05 01:58:18.500,33.76721,-118.22041900900902,0.1,184.6,511.0,DURANGO,,WDC3807,31.0,0.0,18.0,7.0,,52.0,A
12,366760650,2021-01-05 01:58:18.500,33.75576681818182,-118.26294463636363,6.0,36.7,38.0,LEADER,IMO9188568,WCY8495,31.0,0.0,31.0,10.0,4.3,52.0,A
13,367303000,2021-01-05 01:58:18.500,33.751463873873874,-118.2683254054054,5.7,226.3,223.0,,,,,0.0,,,,,A
14,367486370,2021-01-05 01:58:18.500,33.72138027209303,-118.27471027209302,0.1,168.5,164.0,NRC QUEST,IMO9271195,WDF7619,90.0,5.0,48.0,10.0,3.0,70.0,A
