,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
37,636090862,2021-03-06 01:57:49.500,33.59259036697248,-118.03369073394497,0.1,19.2,287.0,JPO LIBRA,IMO9297840,A8GU7,70.0,1.0,264.0,32.0,12.5,,A
38,367711690,2021-03-06 01:57:49.500,33.72198005714286,-118.28296005714286,0.0,115.9,511.0,FLORETTA G,,WDI5745,37.0,,,,,,B
39,338500000,2021-03-06 01:57:49.500,33.74595509803924,-118.21743862745097,4.3,315.9,318.0,EAGLE BAY,IMO9642095,KEBO,80.0,0.0,251.0,43.0,15.0,80.0,A
40,366926740,2021-03-06 01:57:49.500,33.72532558510638,-118.19223430851063,6.4,91.8,86.0,TIM QUIGG,IMO8987917,WDB6570,31.0,0.0,24.0,9.0,4.0,52.0,A
41,338159837,2021-03-06 01:57:49.500,33.72412929130435,-118.28213,0.0,33.1,241.0,PACIFIC SUNSET,IMO0000000,,37.0,,10.0,4.0,,,B
42,354886000,2021-03-06 01:57:49.500,33.659748488372095,-118.15010994186046,0.2,187.8,266.0,COSCO EUROPE,IMO9345415,3EOC5,70.0,1.0,349.0,45.0,14.5,71.0,A
43,241528000,2021-03-06 01:57:49.500,33.63038663366336,-118.21217356435645,10.9,197.3,203.0,,,,,0.0,,,,,A
44,338322535,2021-03-06 01:57:49.500,33.72840994783743,-118.05987005216258,0.0,360.0,511.0,EAGLES WING,IMO0000000,,37.0,,12.0,0.0,,,B
45,538007479,2021-03-06 01:57:49.500,33.69005010232558,-118.21395010232558,0.1,219.0,270.0,HYUNDAI COURAGE,IMO9347542,V7PP4,70.0,1.0,340.0,46.0,12.7,70.0,A
46,370188000,2021-03-06 01:57:49.500,33.73687004883721,-118.19290980465117,0.0,260.7,91.0,COSCO AFRICA,IMO9345439,3ERX3,70.0,5.0,349.0,45.0,14.5,,A
47,366764730,2021-03-06 01:57:49.500,33.733131,-118.26775,0.0,221.6,511.0,SCOUT,IMO9188570,WCZ2046,31.0,0.0,31.0,10.0,4.3,,A
48,367104070,2021-03-06 01:57:49.500,33.58234990825688,-118.12779844036697,3.3,91.4,511.0,PATRICK,IMO8982541,WDC9572,60.0,0.0,31.0,6.0,,42.0,A
49,311000112,2021-03-06 01:57:49.500,33.728569881395345,-118.15423972325581,0.0,114.8,256.0,POLARIS VOYAGER,IMO9665748,C6AP4,80.0,1.0,275.0,48.0,17.0,,A
50,232018919,2021-03-06 01:57:49.500,33.72986063255814,-118.25555962790698,0.0,226.7,71.0,,,,,5.0,,,,,A
51,366746210,2021-03-06 01:57:49.500,33.73417,-118.26812992094862,0.0,360.0,511.0,GRANDE,,WCY2454,60.0,,24.0,7.0,,,B
52,367044560,2021-03-06 01:57:49.500,33.72154954954955,-118.2713309009009,0.1,307.8,511.0,PHINEAS BANNING,,WCT8646,,15.0,15.0,4.0,,,A
53,338181008,2021-03-06 01:57:49.500,33.71417996511628,-118.06257013953488,0.0,43.6,511.0,JANICE O,,,37.0,,15.0,,,,B
54,355813000,2021-03-06 01:57:49.500,33.638219934883715,-118.06532,0.5,292.6,275.0,MSC MAXINE,IMO9720287,3EBJ4,70.0,1.0,299.0,48.0,14.5,,A
55,368121180,2021-03-06 01:57:49.500,33.73617,-118.26965002790698,0.0,255.8,511.0,LAPPD BOAT 42,IMO0000000,WDL3392,55.0,,12.0,4.0,,,B
56,229979000,2021-03-06 01:57:49.500,33.68552363636364,-118.18536390909091,8.1,348.5,345.0,SANTA BETTINA,IMO9338084,9HA3768,70.0,0.0,222.0,30.0,12.0,70.0,A
57,636018356,2021-03-06 01:57:49.500,33.73667,-118.18879003732214,0.0,259.8,92.0,,,,,5.0,,,,,A
58,338926430,2021-03-06 01:57:49.500,33.72622989539749,-118.26968,0.0,0.0,162.0,,,,,5.0,,,,,A
59,563096700,2021-03-06 01:57:49.500,33.6794998019802,-118.15312006600661,0.2,347.0,281.0,EVER SAFETY,IMO9300465,9V2792,71.0,1.0,300.0,43.0,-12.0,71.0,A
60,367647270,2021-03-06 01:57:49.500,33.73546648148149,-118.27115055555556,0.1,256.9,511.0,JOHN HENRY,IMO8978174,WDH7347,60.0,0.0,29.0,7.0,,39.0,A
61,636019206,2021-03-06 01:57:49.500,33.62249040268457,-118.06685,0.0,359.2,274.0,,,,,1.0,,,,,A
62,367101530,2021-03-06 01:57:49.500,33.7346,-118.26861261261261,0.0,172.9,511.0,CARIBE ALLIANCE,,WDI9216,90.0,0.0,19.0,6.0,,53.0,A
63,366806940,2021-03-06 01:57:49.500,33.73304963302752,-118.09484853211009,0.0,264.1,511.0,VALHALLA,,WDA4208,90.0,3.0,77.0,23.0,,0.0,A
64,368084540,2021-03-06 01:57:49.500,33.73991,-118.27802629139073,0.0,259.8,5.0,,,,,0.0,,,,,A
65,367661930,2021-03-06 01:57:49.500,33.729613,-118.275395,0.1,251.5,121.0,MICHELLE SLOAN,IMO9747819,WDH8832,31.0,15.0,24.0,,,,A
66,367733880,2021-03-06 01:57:49.500,33.72367,-118.07129,0.0,360.0,511.0,HIGH PRYORITY,,WDI7956,37.0,0.0,,,,,A
67,367492920,2021-03-06 01:57:49.500,33.73505618181818,-118.27098854545454,0.0,352.1,511.0,KENNETH CARL,IMO8978710,WDF8246,90.0,0.0,33.0,7.0,2.7,79.0,A
68,431552000,2021-03-06 01:57:49.500,33.66559240000001,-118.10983946666667,0.1,210.3,266.0,,,,,1.0,,,,,A
69,367719100,2021-03-06 01:57:49.500,33.729699090909094,-118.27579418181818,0.0,339.3,305.0,,,,,0.0,,,,,A
70,311827000,2021-03-06 01:57:49.500,33.72932448680352,-118.14716401759532,0.1,317.3,253.0,NORWEGIAN JEWEL,IMO9304045,C6TX6,60.0,1.0,294.0,37.0,8.3,,A
71,367506190,2021-03-06 01:57:49.500,33.72427053691275,-118.28150080536912,0.0,230.5,511.0,THALASSA,,WDF9539,37.0,,15.0,,,,B
72,219199000,2021-03-06 01:57:49.500,33.731306266666664,-118.2506144,0.0,233.3,71.0,,,,,5.0,,,,,A
73,368011010,2021-03-06 01:57:49.500,33.7191,-118.2795782,0.0,126.1,511.0,HATTENUFF,IMO0000000,WDJ7882,37.0,,15.0,5.0,,,B
74,367618150,2021-03-06 01:57:49.500,33.72286177257524,-118.28304443143813,0.1,360.0,511.0,UTOPIAS,,WDH4477,37.0,,12.0,3.0,,,B
75,338360094,2021-03-06 01:57:49.500,33.72089905769231,-118.27871952884615,0.0,360.0,511.0,PACIFIC HAVEN,IMO0000000,,37.0,,15.0,5.0,,,B
76,367006770,2021-03-06 01:57:49.500,33.72938611111111,-118.27567833333335,0.0,199.1,125.0,ROBYN J,,WTQ4065,90.0,0.0,32.0,7.0,,31.0,A
77,368024590,2021-03-06 01:57:49.500,33.72400799331104,-118.28090401337792,0.1,20.5,511.0,BOTTOM SCRATCHER,IMO0000000,WDJ9293,34.0,,21.0,6.0,,,B
78,636014997,2021-03-06 01:57:49.500,33.6358411,-118.13946450000002,0.3,3.7,292.0,YM MOBILITY,IMO9457737,A8XY6,70.0,1.0,305.0,40.0,14.0,,A
79,477655200,2021-03-06 01:57:49.500,33.6693567,-118.158561,0.0,172.9,264.0,COSCO JAPAN,IMO9448748,VRFX5,70.0,1.0,334.0,42.0,14.5,71.0,A
80,338209376,2021-03-06 01:57:49.500,33.73081,-118.08280666666667,5.7,155.3,511.0,KRISTY MARIE,IMO0000000,,37.0,,9.0,3.0,,,B
81,352631000,2021-03-06 01:57:49.500,33.74075183006536,-118.19729581699346,0.0,356.8,270.0,COSCO AMERICA,IMO9345427,3EPH4,70.0,5.0,349.0,45.0,14.5,,A
82,215126000,2021-03-06 01:57:49.500,33.62900046666667,-118.0561703,0.4,205.4,260.0,,,,,1.0,,,,,A
83,351249000,2021-03-06 01:57:49.500,33.674543729372935,-118.2112492739274,0.1,149.4,270.0,NYK OCEANUS,IMO9312975,3EMR8,70.0,1.0,336.0,45.0,14.0,70.0,A
84,338319175,2021-03-06 01:57:49.500,33.722097541528235,-118.28124,0.0,360.0,511.0,ALOHA NUI,IMO0000000,,37.0,,18.0,3.0,,,B
85,338229164,2021-03-06 01:57:49.500,33.71877125208681,-118.2761512520868,0.0,30.0,511.0,LINDSEY,,,37.0,,,,,,B
86,311000111,2021-03-06 01:57:49.500,33.72835513333333,-118.16282026666666,0.0,114.5,261.0,PEGASUS VOYAGER,IMO9665736,C6AP3,80.0,1.0,275.0,48.0,17.0,,A
87,367486370,2021-03-06 01:57:49.500,33.72139,-118.2747245637584,0.0,240.2,164.0,NRC QUEST,IMO9271195,WDF7619,90.0,5.0,48.0,10.0,3.0,70.0,A
88,338316979,2021-03-06 01:57:49.500,33.72586716666666,-118.07509,0.0,360.0,511.0,CZEH MATE,IMO0000000,,37.0,,0.0,0.0,,,B
89,431654000,2021-03-06 01:57:49.500,33.66625883333333,-118.12401016666666,0.2,333.7,287.0,,,,,1.0,,,,,A
90,351539000,2021-03-06 01:57:49.500,33.71246171717172,-118.19432723905724,0.2,347.8,263.0,NAVIOS AMBER,IMO9736341,3FQB6,70.0,1.0,229.0,32.0,14.5,,A
91,366554000,2021-03-06 01:57:49.500,33.72383,-118.27967,0.0,160.0,251.0,AQUILA,,WDF8873,60.0,5.0,19.0,5.0,,,A
92,215346000,2021-03-06 01:57:49.500,33.732713000000004,-118.25446160000001,0.0,27.4,251.0,,,,,5.0,,,,,A
93,303340000,2021-03-06 01:57:49.500,33.73424,-118.24907,0.0,6.1,251.0,,,,,5.0,,,,,A
94,413173000,2021-03-06 01:57:49.500,33.6683999,-118.14283,0.2,7.0,279.0,XIN DA YANG ZHOU,IMO9337949,BPKE,70.0,1.0,335.0,42.0,14.7,,A
95,368104220,2021-03-06 01:57:49.500,33.72103843853821,-118.27822843853819,0.1,360.0,511.0,SECOND VERSE,IMO0000000,WDK9494,36.0,,16.0,5.0,,,B
96,338331664,2021-03-06 01:57:49.500,33.71664,-118.281,0.0,282.3,511.0,ASTRAL,IMO0000000,,36.0,,13.0,4.0,,,B
97,367174120,2021-03-06 01:57:49.500,33.738276956521744,-118.26691391304348,0.0,360.0,511.0,BARBARA H,IMO0000000,WDK2335,30.0,,0.0,0.0,,,B
