,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
0,345977777,2021-01-06 13:53:15.500,32.34279247706422,-117.09073458715595,4.9,331.9,511.0,PEMEX TEPEHUANO,IMO9774800,XCAX9,90.0,0.0,0.0,0.0,4.5,90.0,A
1,368015490,2021-01-06 13:53:15.500,32.70653333333333,-117.16575333333334,0.0,33.7,511.0,MONIKANI,IMO0000000,WDJ8348,36.0,,15.0,3.0,,,B
2,368926079,2021-01-06 13:53:15.500,32.6793,-117.12902666110183,0.0,7.3,235.0,USS MANCHESTER,,NMCR,90.0,5.0,,,,,A
3,338159814,2021-01-06 13:53:15.500,32.71177,-117.23168,0.0,252.5,511.0,ANDIAMO,,,37.0,,12.0,,,,B
4,366892120,2021-01-06 13:53:15.500,32.691464909090904,-117.151136,5.2,129.3,511.0,HARBOR COMMANDER,,WDB3861,31.0,0.0,10.0,5.0,,,A
5,366981740,2021-01-06 13:53:15.500,32.68634575,-117.13337808333333,0.0,225.0,511.0,,,,,15.0,,,,,A
6,367380940,2021-01-06 13:53:15.500,32.72142,-117.22737,0.1,226.1,511.0,THE SMALL CREW,,WDH3042,37.0,0.0,18.0,5.0,,37.0,A
7,367033990,2021-01-06 13:53:15.500,32.75915,-117.24039,0.0,360.0,511.0,PRODUCER,,WDH9695,60.0,0.0,18.0,6.0,,,A
8,338102000,2021-01-06 13:53:15.500,32.72381256880734,-117.22615128440367,0.0,282.3,511.0,EXCEL,IMO8654560,WDH8776,60.0,0.0,33.0,9.0,,60.0,A
9,367015620,2021-01-06 13:53:15.500,32.72372981651377,-117.22368,0.0,20.0,356.0,MAXIMUS II,,WDC3874,37.0,0.0,28.0,7.0,,37.0,A
10,338154885,2021-01-06 13:53:15.500,32.7058,-117.16399382550335,0.0,260.6,511.0,CELY 5.0,,,37.0,,,,,,B
11,338236902,2021-01-06 13:53:15.500,32.72692059405941,-117.19279627062706,0.0,144.8,511.0,PHASE 8,IMO0000000,,36.0,,18.0,4.0,,,B
12,367319730,2021-01-06 13:53:15.500,32.72534,-117.18541,0.0,96.1,511.0,SV EMMA,IMO0000000,WDE2053,36.0,,19.0,5.0,,,B
13,366948840,2021-01-06 13:53:15.500,32.68699836363636,-117.13339,0.0,258.4,511.0,C-TRACTOR 6,IMO8875413,WCZ3924,31.0,15.0,27.0,10.0,3.5,,A
14,372698000,2021-01-06 13:53:15.500,32.080131132075465,-117.31581867924528,3.7,202.1,207.0,,,,,3.0,,,,,A
15,310661000,2021-01-06 13:53:15.500,32.08307321100918,-117.35509412844037,0.5,99.6,201.0,ROYAL PRINCESS,IMO9584712,ZCEI3,60.0,0.0,330.0,38.0,8.5,,A
16,303272000,2021-01-06 13:53:15.500,32.70617703333334,-117.23615,0.0,77.5,126.0,ROBERT GORDON SPROUL,,WSQ2674,90.0,5.0,38.0,9.0,2.9,0.0,A
17,369503000,2021-01-06 13:53:15.500,32.72084,-117.17497144295302,0.0,334.6,266.0,ROBERT C SEAMANS,IMO9245483,WDA4486,90.0,5.0,40.0,7.0,3.8,,A
