,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
0,367689860,2022-08-05 13:43:03,33.61123,-117.92346,0.3,360.0,105.0,POTESTA,,WDI3585,37.0,,24.0,,,,B
1,367308610,2022-08-05 13:43:03,33.77179,-118.21181,0.0,227.1,153.0,SARAH C,,WDD9226,31.0,0.0,19.0,6.0,,31.0,A
2,338433363,2022-08-05 13:43:03,33.7533,-118.11112,0.0,360.0,511.0,FORTITUDE,IMO0000000,,37.0,,9.0,4.0,,,B
3,338167955,2022-08-05 13:43:04,33.61533,-117.90641,0.0,62.5,511.0,BULL PEN,,,37.0,,14.0,,,,B
4,338322293,2022-08-05 13:43:04,33.72698,-118.07541,0.0,360.0,511.0,SEAS THE DAY,IMO0000000,,37.0,,12.0,4.0,,,B
5,366563000,2022-08-05 13:43:06,33.76901,-118.21903,0.0,180.8,245.0,MAHIMAHI,IMO7907996,WHRN,70.0,5.0,262.0,32.0,10.7,70.0,A
6,563433000,2022-08-05 13:43:07,33.74748,-118.19742,0.0,292.1,180.0,MAERSK NORTHWOOD,IMO9222118,9V3531,70.0,5.0,210.0,30.0,11.5,70.0,A
7,232024773,2022-08-05 13:43:08,33.75164,-118.2413,0.0,80.1,251.0,HYUNDAI MARS,IMO9725122,MGGA6,74.0,5.0,324.0,48.0,13.8,70.0,A
8,338602000,2022-08-05 13:43:08,33.7758,-118.21259,0.0,229.0,249.0,BALTIMORE,IMO9804784,WDI9338,31.0,0.0,30.0,,,52.0,A
9,538005725,2022-08-05 13:43:08,33.73883,-118.21584,0.1,183.5,223.0,KACEY,IMO9420277,V7GL7,70.0,1.0,189.0,32.0,12.5,70.0,A
10,367101530,2022-08-05 13:43:09,33.84189,-118.39158,0.0,195.1,511.0,CARIBE ALLIANCE,,WDI9216,90.0,0.0,19.0,6.0,,53.0,A
11,338122322,2022-08-05 13:43:09,33.74448,-118.11657,5.4,205.9,511.0,JANICE R,,,37.0,,11.0,4.0,,,B
12,368167990,2022-08-05 13:43:10,33.61021,-117.92528,0.0,131.1,511.0,IT'S ALL GOOD,IMO0000000,WDL8279,37.0,,14.0,5.0,,,B
13,367038000,2022-08-05 13:43:10,33.77305,-118.20862,0.0,360.0,306.0,AHRA-AHN,,WDG5394,30.0,0.0,19.0,5.0,,60.0,A
14,338339611,2022-08-05 13:43:10,33.60197,-117.89745,0.0,360.0,22.0,VAL AIR,IMO0000000,,37.0,,11.0,4.0,,,B
15,367571130,2022-08-05 13:43:10,33.73437,-118.26583,0.0,126.0,22.0,DONZ RIG,IMO0000000,WDG7817,30.0,,0.0,0.0,,,B
16,354591000,2022-08-05 13:43:10,33.7733,-118.21938,0.0,285.0,238.0,PYXIS LEADER,IMO9284738,H9ML,70.0,5.0,199.0,32.0,10.3,70.0,A
17,368010330,2022-08-05 13:43:10,33.7615,-118.21878,0.0,332.7,313.0,RICH PADDEN,,WDJ7811,52.0,0.0,,,,52.0,A
18,368124160,2022-08-05 13:43:11,33.72425,-118.06954,0.0,27.8,511.0,TNT,IMO0000000,,37.0,,10.0,10.0,,,B
19,368192980,2022-08-05 13:43:11,33.74484,-118.19737,0.1,360.0,511.0,PATTY D,,WDM2964,0.0,3.0,11.0,6.0,0.0,0.0,A
20,338118674,2022-08-05 13:43:11,33.72626,-118.26905,0.1,244.2,511.0,BAYWATCH 19,,WZB9310,90.0,15.0,,,,0.0,A
21,636013693,2022-08-05 13:43:12,33.75428,-118.2755,0.0,240.2,331.0,YM UNIFORM,IMO9337482,A8OR8,70.0,5.0,333.0,42.0,14.5,70.0,A
22,368073670,2022-08-05 13:43:13,33.6192,-117.9282,0.0,97.7,511.0,,IMO0000000,,37.0,,0.0,0.0,,,B
23,366857070,2022-08-05 13:43:13,33.52282,-118.24908,27.0,197.8,511.0,JET CAT EXPRESS,IMO9367475,WDA8695,60.0,5.0,44.0,10.0,,40.0,A
24,367104080,2022-08-05 13:43:14,33.73503,-118.27081,0.0,202.2,511.0,PETER MAC,IMO8982979,WDC9573,60.0,0.0,27.0,6.0,,90.0,A
25,338324182,2022-08-05 13:43:14,33.75902,-118.18509,0.0,360.0,511.0,PURITAN,IMO0000000,WDL8229,37.0,,18.0,6.0,,,B
26,368221650,2022-08-05 13:43:14,33.60637,-117.90323,0.0,224.7,93.0,MAHAL,IMO0000000,WDM6041,37.0,,13.0,4.0,,,B
27,366755010,2022-08-05 13:43:16,33.73993,-118.2782,0.0,263.4,189.0,MASTER,IMO9188532,WCY6528,31.0,0.0,32.0,10.0,6.8,31.0,A
28,338240395,2022-08-05 13:43:17,33.72351,-118.28125,0.0,230.0,511.0,TIDAL WAVE,,,37.0,,,,,,B
29,338392038,2022-08-05 13:43:17,33.60824,-117.90757,0.0,360.0,511.0,ALLURE,IMO0000000,,36.0,,12.0,4.0,,,B
30,477735500,2022-08-05 13:43:18,33.6094,-118.04857,0.0,76.2,256.0,NEW COROLLA,IMO9900679,VRUI6,80.0,1.0,333.0,60.0,16.5,80.0,A
31,368255540,2022-08-05 13:43:18,33.61339,-117.91144,0.0,360.0,511.0,BOOMERANG,IMO0000000,WDM9743,37.0,,24.0,6.0,,,B
32,338208221,2022-08-05 13:43:18,33.72263,-118.28095,0.1,92.8,511.0,BREATHE,,,60.0,,,,,,B
33,563077000,2022-08-05 13:43:19,33.74356,-118.20801,0.0,265.6,129.0,MORNING MARGARETA,IMO9367580,9VHC2,70.0,0.0,179.0,32.0,9.6,70.0,A
34,338108493,2022-08-05 13:43:20,33.61046,-117.89592,0.0,116.4,511.0,CHARISMA,IMO0000000,,37.0,,12.0,5.0,,,B
35,368088820,2022-08-05 13:43:20,33.74473,-118.19737,0.0,360.0,511.0,MORTY,,WDK7887,33.0,3.0,59.0,18.0,3.6,33.0,A
36,235103359,2022-08-05 13:43:20,33.74843,-118.27755,0.1,257.0,300.0,DIAMOND PRINCESS,IMO9228198,2HFZ7,60.0,5.0,288.0,37.0,8.6,60.0,A
37,367113620,2022-08-05 13:43:21,33.76046,-118.19209,0.0,360.0,511.0,SPIRIT,,WDD2309,69.0,0.0,30.0,0.0,0.0,69.0,A
38,338149432,2022-08-05 13:43:21,33.60892,-117.89014,0.0,234.7,511.0,MOBILLITY,,,37.0,,8.0,,,,B
39,338430492,2022-08-05 13:43:21,33.74703,-118.11705,0.0,223.1,511.0,SOJOURN,IMO0000000,,36.0,,3.0,1.0,,,B
40,367507960,2022-08-05 13:43:22,33.77187,-118.21169,0.0,266.0,511.0,185 3,,WDF9705,90.0,3.0,54.0,,,90.0,A
41,235098383,2022-08-05 13:43:22,33.72642,-118.25987,0.0,227.7,202.0,EVER LINKING,IMO9629043,2GLI9,70.0,5.0,334.0,45.0,14.2,74.0,A
42,367133910,2022-08-05 13:43:23,33.76543,-118.25568,0.0,163.3,511.0,BETHEL F GIFFORD,,WS9087,90.0,0.0,22.0,7.0,,51.0,A
43,338219524,2022-08-05 13:43:24,33.7584,-118.18407,0.1,48.1,511.0,ALWAYS MISS BEHAVEN,,,37.0,,,,,,B
44,249386000,2022-08-05 13:43:24,33.71165,-118.21872,0.1,108.4,143.0,LEONIDAS,IMO9696474,9HA4229,70.0,1.0,,,,70.0,A
