,asf_file,image_datetime,date,minLON,minLAT,maxLON,maxLAT,widthpx,heightpx,datetime_lower,datetime_upper,ais_file
0,S1A_IW_GRDH_1SDV_20220724T135250_20220724T135315_044243_0547D4_EC1C.tif,2022-07-24 13:53:02.500,2022-07-24,-118.46674830680377,33.42734429573842,-117.83936491237469,33.89698352627611,6984,5228,2022-07-24 13:43:02.500,2022-07-24 14:03:02.500,AIS_2022_07_24.csv
1,S1A_IW_GRDH_1SDV_20220805T135250_20220805T135315_044418_054CF6_BFA7.tif,2022-08-05 13:53:02.500,2022-08-05,-118.46667419249428,33.42734713286047,-117.83938062959362,33.896986363398156,6983,5228,2022-08-05 13:43:02.500,2022-08-05 14:03:02.500,AIS_2022_08_05.csv
2,S1A_IW_GRDH_1SDV_20220822T015823_20220822T015852_044659_0554D1_7977.tif,2022-08-22 01:58:37.500,2022-08-22,-118.41514552019675,33.49008920794179,-117.92637217410731,33.828933733111676,5441,3772,2022-08-22 01:48:37.500,2022-08-22 02:08:37.500,AIS_2022_08_22.csv
3,S1A_IW_GRDH_1SDV_20220903T015824_20220903T015853_044834_055AB9_7824.tif,2022-09-03 01:58:38.500,2022-09-03,-118.41521962972924,33.49011883391219,-117.9286022403217,33.82860403296843,5417,3768,2022-09-03 01:48:38.500,2022-09-03 02:08:38.500,AIS_2022_09_03.csv
4,S1A_IW_GRDH_1SDV_20220922T135252_20220922T135317_045118_05644B_C495.tif,2022-09-22 13:53:04.500,2022-09-22,-118.46680716754315,33.42736391379515,-117.83924411005725,33.897003144332835,6986,5228,2022-09-22 13:43:04.500,2022-09-22 14:03:04.500,AIS_2022_09_22.csv
5,S1A_IW_GRDH_1SDV_20220927T015824_20220927T015853_045184_05667F_76D2.tif,2022-09-27 01:58:38.500,2022-09-27,-118.41512798044927,33.490099633541774,-117.92518682449048,33.82912382176848,5454,3774,2022-09-27 01:48:38.500,2022-09-27 02:08:38.500,AIS_2022_09_27.csv
6,S1A_IW_GRDH_1SDV_20221009T015824_20221009T015853_045359_056C59_4528.tif,2022-10-09 01:58:38.500,2022-10-09,-118.41519431856257,33.49011026874272,-117.92525316260378,33.829044625441014,5454,3773,2022-10-09 01:48:38.500,2022-10-09 02:08:38.500,AIS_2022_10_09.csv
7,S1A_IW_GRDH_1SDV_20221028T015016_20221028T015045_045636_0574F3_BE4B.tif,2022-10-28 01:50:30.500,2022-10-28,-118.41362604865567,33.49082792158275,-117.89107604788335,33.833535202474344,5817,3815,2022-10-28 01:40:30.500,2022-10-28 02:00:30.500,AIS_2022_10_28.csv
8,S1A_IW_GRDH_1SDV_20221109T015015_20221109T015044_045811_057AE4_DA3C.tif,2022-11-09 01:50:29.500,2022-11-09,-118.41361961258018,33.490818622741926,-117.89115944333626,33.83352590363352,5816,3815,2022-11-09 01:40:29.500,2022-11-09 02:00:29.500,AIS_2022_11_09.csv
9,S1A_IW_GRDH_1SDV_20221121T015015_20221121T015044_045986_0580C5_7D6E.tif,2022-11-21 01:50:29.500,2022-11-21,-118.41363962552639,33.490804597812506,-117.89108962475406,33.833601710232514,5817,3816,2022-11-21 01:40:29.500,2022-11-21 02:00:29.500,AIS_2022_11_21.csv
