,asf_file,image_datetime,date,minLON,minLAT,maxLON,maxLAT,widthpx,heightpx,datetime_lower,datetime_upper,ais_file
0,S1A_IW_GRDH_1SDV_20210204T015812_20210204T015841_036434_0446E1_2157_TC.tif,2021-02-04 01:58:12,2021-02-04,-118.4962518528152,33.19778878418238,-117.96435937308804,33.855265740629456,5921,7319,2021-02-04 01:48:12,2021-02-04 02:08:12,AIS_2021_02_04.csv
1,S1B_IW_GRDH_1SDV_20210105T015737_20210105T015806_025013_02FA23_627F_TC.tif,2021-01-05 01:57:37,2021-01-05,-118.57526912922827,33.25192920931898,-117.9463585988162,33.93024708035763,7001,7551,2021-01-05 01:47:37,2021-01-05 02:07:37,AIS_2021_01_05.csv
2,S1B_IW_GRDH_1SDV_20210306T015735_20210306T015804_025888_031671_7F65_TC.tif,2021-03-06 01:57:35,2021-03-06,-118.4828351178143,33.19948226368492,-117.98067687399148,33.829740267023176,5590,7016,2021-03-06 01:47:35,2021-03-06 02:07:35,AIS_2021_03_06.csv
