,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
0,636092268,2021-02-04 01:48:28,33.64178,-118.13379,0.1,184.2,253.0,MSC RAVENNA,IMO9484431,A8ZU8,70.0,1.0,365.0,51.0,16.0,,A
1,338060204,2021-02-04 01:48:28,33.72099,-118.27909,0.0,360.0,511.0,,,,,1.0,,,,,A
2,338229302,2021-02-04 01:48:30,33.7533,-118.11113,0.0,277.3,511.0,NAUTICAL SMILE,,,37.0,,,,,,B
3,338162425,2021-02-04 01:48:30,33.72281,-118.06875,0.0,271.0,511.0,CHELSEA SKYE  TWO,IMO0000000,,37.0,,0.0,0.0,,,B
4,354891000,2021-02-04 01:48:31,33.66601,-118.12227,0.1,172.6,268.0,NYK NEBULA,IMO9337640,3ENG6,70.0,1.0,294.0,32.0,13.5,71.0,A
5,310531000,2021-02-04 01:48:31,33.73435,-118.17048,0.1,332.0,242.0,EMERALD PRINCESS,IMO9333151,ZCDP8,60.0,1.0,288.0,36.0,8.5,69.0,A
6,338122738,2021-02-04 01:48:31,33.72396,-118.28373,0.0,250.0,511.0,FREE SPIRIT,,,37.0,,12.0,,,,B
7,338352671,2021-02-04 01:48:32,33.72169,-118.27938,0.0,265.6,511.0,ZORYANA,IMO0000000,,37.0,,0.0,0.0,,,B
8,338366226,2021-02-04 01:48:32,33.71352,-118.25631,8.7,268.8,268.0,,,,,0.0,,,,,A
9,235414000,2021-02-04 01:48:33,33.70539,-118.12974,0.0,123.0,247.0,EVER ENVOY,IMO9241308,VSQL9,70.0,1.0,300.0,42.0,13.5,,A
10,368048380,2021-02-04 01:48:34,33.75134,-118.11024,0.0,302.5,511.0,TAVISH B.,IMO0000000,WDK3754,37.0,,12.0,4.0,,,B
11,566828000,2021-02-04 01:48:35,33.69708,-118.11967,0.0,194.0,254.0,WAN HAI 515,IMO9457646,9V7851,70.0,1.0,258.0,37.0,12.8,70.0,A
12,338098732,2021-02-04 01:48:36,33.72035,-118.28005,0.0,257.0,511.0,IKAROS,,,37.0,,18.0,5.0,,,B
13,338159837,2021-02-04 01:48:37,33.72411,-118.28215,0.0,185.8,221.0,PACIFIC SUNSET,IMO0000000,,37.0,,10.0,4.0,,,B
14,255805859,2021-02-04 01:48:37,33.66824,-118.1387,0.4,243.6,265.0,MSC ANTONELLA,IMO9702273,CQZF,70.0,1.0,299.0,,,,A
15,366785290,2021-02-04 01:48:41,33.74901,-118.11383,0.0,11.9,511.0,MANDALAY,,WDG4601,37.0,,15.0,,,,B
16,367724740,2021-02-04 01:48:45,33.75966,-118.19304,5.0,358.1,511.0,LA ESPADA,IMO8793328,WDI7035,60.0,15.0,,,,,A
17,367691660,2021-02-04 01:48:46,33.7488,-118.11407,0.0,245.6,511.0,BIBI,,WDI3764,37.0,7.0,19.0,5.0,,,A
18,338228649,2021-02-04 01:48:46,33.75108,-118.11292,0.4,360.0,511.0,COLLEEN JR.,IMO0000000,,37.0,,14.0,6.0,,,B
19,366932980,2021-02-04 01:48:46,33.77087,-118.21178,0.0,39.2,67.0,DREW FOSS,IMO7626217,WYL5718,31.0,5.0,38.0,10.0,4.2,,A
20,311603000,2021-02-04 01:48:47,33.71489,-118.14431,0.3,313.2,269.0,NAT GEO ORION,IMO9273076,C6TE3,60.0,1.0,102.0,14.0,3.8,,A
21,371274000,2021-02-04 01:48:49,33.75327,-118.236,0.0,353.5,250.0,,,,,5.0,,,,,A
22,241501000,2021-02-04 01:48:49,33.62595,-118.05148,0.7,181.9,294.0,,,,,1.0,,,,,A
23,353162000,2021-02-04 01:48:50,33.74359,-118.19544,0.0,261.0,270.0,MSC BEATRICE,IMO9399014,3FUF2,70.0,5.0,366.0,51.0,15.6,,A
24,372361000,2021-02-04 01:48:50,33.72985,-118.22574,0.1,62.3,228.0,ALBION BAY,IMO9496989,3FLD3,70.0,1.0,197.0,32.0,12.7,,A
25,249414000,2021-02-04 01:48:52,33.75909,-118.27688,0.0,300.6,37.0,ZIM SAO PAOLO,IMO9389681,9HRL9,70.0,5.0,260.0,32.0,12.6,70.0,A
26,367309390,2021-02-04 01:48:52,33.7716,-118.21187,0.0,230.7,147.0,PACIFIC FREEDOM,IMO7047708,WDD9283,31.0,5.0,34.0,9.0,3.8,52.0,A
27,367621160,2021-02-04 01:48:52,33.72465,-118.28079,0.0,360.0,511.0,FREEDOM,,WDH4766,60.0,0.0,24.0,7.0,,,A
28,367733880,2021-02-04 01:48:52,33.72365,-118.07129,0.0,360.0,511.0,HIGH PRYORITY,,WDI7956,37.0,0.0,,,,,A
29,338083011,2021-02-04 01:48:52,33.74869,-118.11387,0.0,136.3,511.0,OFFLINE,,,37.0,,19.0,,,,B
30,367133910,2021-02-04 01:48:53,33.76548,-118.25559,0.0,244.7,511.0,BETHEL F GIFFORD,,WS9087,90.0,0.0,22.0,7.0,,,A
31,367647270,2021-02-04 01:48:54,33.735,-118.271,0.0,301.8,511.0,JOHN HENRY,IMO8978174,WDH7347,60.0,0.0,29.0,7.0,,39.0,A
32,368024590,2021-02-04 01:48:55,33.72401,-118.28089,0.2,341.7,511.0,BOTTOM SCRATCHER,IMO0000000,WDJ9293,34.0,,21.0,6.0,,,B
33,372955000,2021-02-04 01:48:57,33.60791,-118.0254,0.3,233.1,263.0,MOL EXPERIENCE,IMO9333838,3ELI7,70.0,1.0,294.0,32.0,13.5,,A
34,367422010,2021-02-04 01:48:57,33.74769,-118.27091,0.0,360.0,511.0,,,,,3.0,,,,,A
35,366979370,2021-02-04 01:48:58,33.77057,-118.21249,0.0,271.7,244.0,EDITH FOSS,IMO7932355,WYQ8798,31.0,5.0,23.0,8.0,,,A
36,367368180,2021-02-04 01:48:59,33.71771,-118.23568,5.4,66.8,511.0,CHRISTY S,,WDE5537,60.0,,19.0,5.0,,,B
37,373285000,2021-02-04 01:48:59,33.74271,-118.27379,0.1,204.4,207.0,,,,,5.0,,,,,A
38,229622000,2021-02-04 01:48:59,33.66006,-118.14976,0.2,354.7,267.0,MSC TRIESTE,IMO9484479,9HA3459,70.0,1.0,365.0,48.0,16.0,,A
39,370587000,2021-02-04 01:49:00,33.75773,-118.25982,0.0,72.8,37.0,HENRY HUDSON BRIDGE,IMO9302176,3ETK4,70.0,5.0,336.0,45.0,14.0,,A
40,367049470,2021-02-04 01:49:02,33.76272,-118.26565,0.0,311.8,511.0,STEPHEN M WHITE,,WCU6542,90.0,15.0,15.0,4.0,,,A
41,367676070,2021-02-04 01:49:04,33.7621,-118.18269,0.0,0.0,511.0,TUAMOTU,,WDI2235,37.0,,,,,,B
42,477219900,2021-02-04 01:49:04,33.76101,-118.21419,0.0,80.8,0.0,,,,,5.0,,,,,A
43,367657060,2021-02-04 01:49:04,33.7309,-118.27741,0.1,0.8,511.0,SEA VENTURE,,WDH8347,30.0,,22.0,,,,B
44,367599960,2021-02-04 01:49:07,33.72066,-118.27817,0.0,359.6,511.0,THE REAGAN YEARS,,WDH2666,37.0,,14.0,4.0,,,B
45,367308610,2021-02-04 01:49:08,33.77154,-118.21159,0.0,178.4,247.0,SARAH C,,WDD9226,31.0,5.0,19.0,6.0,,31.0,A
46,373828000,2021-02-04 01:49:08,33.75929,-118.21754,0.0,207.7,158.0,CREST NAVIGATOR,IMO9610224,3EYT3,70.0,5.0,176.0,28.0,10.7,70.0,A
47,636018560,2021-02-04 01:49:09,33.678,-118.136,0.1,160.0,267.0,SEALAND GUAYAQUIL,IMO9383259,A8QP3,71.0,1.0,209.0,30.0,9.6,70.0,A
48,241618000,2021-02-04 01:49:10,33.77258,-118.22081,0.0,243.0,237.0,,,,,5.0,,,,,A
49,367506190,2021-02-04 01:49:11,33.72425,-118.28153,0.0,360.0,511.0,THALASSA,,WDF9539,37.0,,15.0,,,,B
50,338322293,2021-02-04 01:49:11,33.72713,-118.07532,0.0,360.0,511.0,SEAS THE DAY,IMO0000000,,37.0,,12.0,4.0,,,B
51,367702780,2021-02-04 01:49:12,33.76141,-118.21878,0.0,243.4,313.0,SARAH,IMO9824887,WDI4859,31.0,0.0,23.0,,,,A
52,338240395,2021-02-04 01:49:13,33.72352,-118.28125,0.0,340.3,511.0,TIDAL WAVE,,,37.0,,,,,,B
53,338364968,2021-02-04 01:49:14,33.76178,-118.18465,0.0,360.0,511.0,BRISA,IMO0000000,,36.0,,12.0,4.0,,,B
54,367044560,2021-02-04 01:49:14,33.72159,-118.27135,0.1,151.5,511.0,PHINEAS BANNING,,WCT8646,,15.0,15.0,4.0,,,A
55,367393270,2021-02-04 01:49:16,33.57371,-118.1213,15.6,142.2,511.0,NICHOLAS L,,WDE7436,90.0,0.0,30.0,6.0,,53.0,A
56,367719640,2021-02-04 01:49:17,33.56213,-118.27502,8.4,188.1,192.0,CATALINA PROVIDER,IMO8793562,WDI6530,70.0,0.0,,,,,A
57,338926431,2021-02-04 01:49:17,33.72548,-118.26945,0.0,159.3,161.0,,,,,5.0,,,,,A
58,370407000,2021-02-04 01:49:18,33.75511,-118.27414,2.5,333.5,151.0,MOL CONTINUITY,IMO9388352,3ESS2,70.0,0.0,320.0,46.0,14.5,73.0,A
59,565032000,2021-02-04 01:49:21,33.76458,-118.27752,0.0,260.0,334.0,WAN HAI 312,IMO9248693,S6AS6,70.0,5.0,212.0,32.0,11.5,79.0,A
60,338186834,2021-02-04 01:49:21,33.75126,-118.11033,0.0,18.3,511.0,T/T VIRGINIA LEE,,,37.0,,,,,,B
61,215189000,2021-02-04 01:49:21,33.72362,-118.22658,0.0,6.1,226.0,,,,,1.0,,,,,A
62,338209606,2021-02-04 01:49:21,33.72531,-118.07653,0.0,15.8,511.0,TELESTO,,,37.0,,,,,,B
63,366760710,2021-02-04 01:49:21,33.76738,-118.21709,0.0,244.9,511.0,REDONDO,,WCD3906,60.0,0.0,18.0,7.0,,,A
64,367760290,2021-02-04 01:49:22,33.74758,-118.21567,0.0,329.1,284.0,FIREBOAT 15,,WDJ2641,90.0,0.0,,,,,A
65,367550710,2021-02-04 01:49:23,33.72982,-118.27695,0.0,169.5,511.0,TRITON,,WDG5828,30.0,,,,,,B
66,368064650,2021-02-04 01:49:24,33.72362,-118.27968,0.5,63.4,511.0,,,,,15.0,,,,,A
67,356289000,2021-02-04 01:49:24,33.73116,-118.25106,0.0,210.9,70.0,,,,,5.0,,,,,A
68,372218000,2021-02-04 01:49:24,33.66743,-118.10941,0.0,195.0,266.0,NYK VEGA,IMO9312781,3EIJ5,70.0,1.0,338.0,45.0,-12.6,70.0,A
69,338160088,2021-02-04 01:49:24,33.75195,-118.11119,0.2,40.2,511.0,SEA FOX,,,37.0,,13.0,,,,B
70,338311935,2021-02-04 01:49:29,33.75909,-118.18506,0.0,122.5,511.0,SEAFOX,IMO0000000,,36.0,,16.0,6.0,,,B
71,366755020,2021-02-04 01:49:30,33.73445,-118.27531,7.4,336.6,333.0,ADMIRAL,IMO9188544,WCY6529,31.0,0.0,31.0,10.0,3.4,52.0,A
72,338369616,2021-02-04 01:49:30,33.75258,-118.10965,0.1,55.1,511.0,SEASCAPE,IMO0000000,,37.0,,0.0,0.0,,,B
73,538008861,2021-02-04 01:49:31,33.7315,-118.2111,0.0,133.0,253.0,SEAWAYS GUAYAQUIL,IMO9389837,V7A2846,80.0,1.0,228.0,32.0,-11.4,80.0,A
74,368117820,2021-02-04 01:49:33,33.76154,-118.19228,0.0,253.5,511.0,VOYAGER,IMO0000000,WDL3042,36.0,,13.0,4.0,,,B
75,477857000,2021-02-04 01:49:33,33.73918,-118.21495,0.1,156.4,240.0,SAGA SPRAY,IMO9014078,VRWW5,70.0,1.0,199.0,30.0,11.8,,A
76,367507960,2021-02-04 01:49:33,33.77177,-118.21165,0.0,254.7,511.0,185 3,,WDF9705,90.0,3.0,54.0,,,,A
77,367793650,2021-02-04 01:49:33,33.71992,-118.27874,0.0,313.6,511.0,BLOW ME,IMO0000000,WDJ6029,36.0,,14.0,8.0,,,B
78,636017896,2021-02-04 01:49:33,33.75837,-118.26192,0.1,212.2,218.0,SANTA VALENTINA,IMO9812482,D5NF5,70.0,5.0,,,,,A
79,367004260,2021-02-04 01:49:34,33.74401,-118.20457,0.0,328.0,511.0,CABRILLO,,WBU7354,60.0,0.0,18.0,7.0,,,A
80,256937000,2021-02-04 01:49:35,33.73683,-118.19287,0.0,211.0,90.0,COSCO BEIJING,IMO9308508,9HA4041,70.0,5.0,350.0,42.0,14.5,,A
81,367014480,2021-02-04 01:49:36,33.76719,-118.22041,0.1,211.3,511.0,DURANGO,,WDC3807,31.0,0.0,18.0,7.0,,52.0,A
82,374645000,2021-02-04 01:49:37,33.6268,-118.08391,0.0,195.5,262.0,,,,,1.0,,,,,A
83,338376344,2021-02-04 01:49:40,33.72027,-118.06538,0.7,184.7,208.0,AFFLICTION,IMO0000000,,37.0,,0.0,0.0,,,B
84,368104220,2021-02-04 01:49:41,33.72103,-118.2782,0.0,360.0,511.0,SECOND VERSE,IMO0000000,WDK9494,36.0,,16.0,5.0,,,B
85,356696000,2021-02-04 01:49:41,33.67954,-118.10815,0.0,185.8,267.0,,,,,1.0,,,,,A
86,311000785,2021-02-04 01:49:42,33.76758,-118.23675,0.0,140.0,74.0,,,,,5.0,,,,,A
87,338366226,2021-02-04 01:49:42,33.71344,-118.2597,8.6,268.8,269.0,,,,,0.0,,,,,A
88,338226725,2021-02-04 01:49:45,33.75644,-118.12967,0.0,336.0,511.0,ANOTHER ADVENTURE,,,37.0,,,,,,B
89,366734000,2021-02-04 01:49:46,33.74403,-118.22668,0.0,0.0,12.0,CAPE ISABEL,IMO7390129,KLHR,70.0,5.0,208.0,31.0,9.8,70.0,A
90,367691660,2021-02-04 01:49:47,33.74878,-118.11408,0.0,247.7,511.0,BIBI,,WDI3764,37.0,7.0,19.0,5.0,,,A
91,338380107,2021-02-04 01:49:47,33.76016,-118.12792,0.0,23.6,511.0,REVEILLE,IMO0000000,,37.0,,12.0,4.0,,,B
92,374158000,2021-02-04 01:49:48,33.76219,-118.18315,0.0,43.6,511.0,LOTTUS,IMO0000000,HP8554,37.0,,0.0,0.0,,,B
93,338380055,2021-02-04 01:49:48,33.71841,-118.27804,0.0,248.0,511.0,THE REAGAN YEARS,IMO0000000,,37.0,,22.0,6.0,,,B
94,256608000,2021-02-04 01:49:49,33.74956,-118.20884,0.0,41.8,57.0,WHITE FIN,IMO9607291,9HA2891,70.0,5.0,190.0,32.0,12.8,,A
95,368141530,2021-02-04 01:49:50,33.75262,-118.11766,0.0,360.0,511.0,JOINT VENTURE,IMO0000000,WDL5483,37.0,,15.0,6.0,,,B
96,368020980,2021-02-04 01:49:50,33.73494,-118.22936,0.0,268.7,224.0,,,,,1.0,,,,,A
97,477056400,2021-02-04 01:49:54,33.74081,-118.19744,0.0,126.1,270.0,COSCO OCEANIA,IMO9334923,VRDQ5,70.0,5.0,348.0,45.0,14.5,,A
98,232024772,2021-02-04 01:49:55,33.7268,-118.2596,0.0,217.4,20.0,,,,,5.0,,,,,A
99,371449000,2021-02-04 01:49:57,33.61377,-118.05649,0.1,206.1,278.0,NYK RIGEL,IMO9416977,3FNL8,70.0,1.0,294.0,32.0,13.5,71.0,A
100,367724740,2021-02-04 01:49:57,33.76091,-118.19338,4.5,304.4,511.0,LA ESPADA,IMO8793328,WDI7035,60.0,15.0,,,,,A
101,215354000,2021-02-04 01:49:59,33.73284,-118.25415,0.0,74.8,252.0,,,,,5.0,,,,,A
102,212351000,2021-02-04 01:50:00,33.69142,-118.2117,0.0,142.0,250.0,HYUNDAI SINGAPORE,IMO9305685,5BZP3,70.0,1.0,303.0,40.0,14.5,71.0,A
103,373021000,2021-02-04 01:50:01,33.65585,-118.11175,0.1,175.0,271.0,PRINCESS MARIA,IMO8212087,3FBY5,70.0,1.0,189.0,22.0,10.7,70.0,A
104,303031000,2021-02-04 01:50:01,33.7293,-118.20173,0.0,249.7,249.0,POLAR ADVENTURE,IMO9244063,WAZV,80.0,1.0,272.0,46.0,17.5,,A
105,367133910,2021-02-04 01:50:02,33.76551,-118.25556,0.0,251.5,511.0,BETHEL F GIFFORD,,WS9087,90.0,0.0,22.0,7.0,,,A
106,367733880,2021-02-04 01:50:02,33.72366,-118.07129,0.0,360.0,511.0,HIGH PRYORITY,,WDI7956,37.0,0.0,,,,,A
107,563090300,2021-02-04 01:50:02,33.64542,-118.11752,0.1,214.3,268.0,,,,,1.0,,,,,A
108,367621160,2021-02-04 01:50:03,33.72465,-118.28076,0.0,360.0,511.0,FREEDOM,,WDH4766,60.0,0.0,24.0,7.0,,,A
109,367647270,2021-02-04 01:50:04,33.73503,-118.271,0.1,304.1,511.0,JOHN HENRY,IMO8978174,WDH7347,60.0,0.0,29.0,7.0,,39.0,A
