,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
0,366904210,2021-05-06 01:40:19,33.73105,-118.26098,0.0,269.0,162.0,ANN T CHERAMIE,IMO8983040,WDB4957,31.0,5.0,33.0,10.0,,52.0,A
1,338181327,2021-05-06 01:40:19,33.7194,-118.28205,0.0,1.7,511.0,QUERENCIA,,,37.0,,9.0,,,,B
2,368171990,2021-05-06 01:40:19,33.76842,-118.21896,8.3,64.9,63.0,LEISA FLORENCE,,WDL8692,52.0,5.0,30.0,13.0,5.8,52.0,A
3,368121180,2021-05-06 01:40:20,33.76339,-118.26531,0.0,247.8,511.0,LAPPD BOAT 42,IMO0000000,WDL3392,55.0,,12.0,4.0,,,B
4,366983530,2021-05-06 01:40:20,33.753,-118.22012,0.0,242.5,246.0,JOHN QUIGG,IMO8987929,WDB9828,31.0,0.0,24.0,9.0,4.0,52.0,A
5,338347484,2021-05-06 01:40:20,33.46098,-117.69136,0.0,360.0,511.0,LYDIE,IMO0000000,,37.0,,15.0,0.0,,,B
6,367642530,2021-05-06 01:40:21,33.76594,-118.22178,2.4,337.0,511.0,BO BRUSCO,IMO9772917,WDH6880,31.0,0.0,23.0,8.0,,31.0,A
7,338303696,2021-05-06 01:40:21,33.61379,-117.91258,0.0,351.7,511.0,DARK SIDE,IMO0000000,,37.0,,11.0,4.0,,,B
8,338098732,2021-05-06 01:40:22,33.72034,-118.28007,0.1,254.6,511.0,IKAROS,,,37.0,,18.0,5.0,,,B
9,338380563,2021-05-06 01:40:22,33.62052,-117.92748,0.0,360.0,511.0,STINGER,IMO0000000,,37.0,,13.0,4.0,,,B
10,367017440,2021-05-06 01:40:22,33.77088,-118.21169,0.0,285.5,511.0,PIPER INNESS,IMO8964109,WDC3984,90.0,0.0,42.0,8.0,2.1,56.0,A
11,338229164,2021-05-06 01:40:23,33.71877,-118.27614,0.0,308.9,511.0,LINDSEY,,,37.0,,,,,,B
12,367533290,2021-05-06 01:40:23,33.7345,-118.2707,0.1,267.4,511.0,MARIE CHERAMIE,IMO8964862,WDG4131,90.0,0.0,49.0,13.0,3.1,0.0,A
13,368171390,2021-05-06 01:40:23,33.73045,-118.26134,0.0,169.3,251.0,BROOKS M HAMILTON,,WDL8631,52.0,0.0,26.0,10.0,2.6,52.0,A
14,338404249,2021-05-06 01:40:23,33.6053,-117.88467,0.0,360.0,511.0,SWARTY4,IMO0000000,,37.0,,8.0,3.0,,,B
15,367353080,2021-05-06 01:40:23,33.62033,-118.25192,10.8,62.2,60.0,EMPIRE STATE,IMO9408126,WDE4431,80.0,0.0,183.0,32.0,11.8,35.0,A
16,367004260,2021-05-06 01:40:23,33.7673,-118.21726,0.0,222.8,511.0,CABRILLO,,WBU7354,60.0,0.0,18.0,7.0,,52.0,A
17,338398145,2021-05-06 01:40:23,33.76632,-118.25999,0.0,169.8,511.0,BOOMER 1,IMO0000000,WYM4548,54.0,,7.0,3.0,,,B
18,636017408,2021-05-06 01:40:24,33.73135,-118.25111,0.0,133.5,71.0,MSC VENICE,IMO9647473,D5KU2,71.0,5.0,399.0,54.0,13.7,71.0,A
