,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
0,338336268,2021-06-05 13:42:35,32.68891,-117.55409,27.8,278.1,511.0,R/V BEYSTER,IMO0000000,,59.0,,13.0,5.0,,,B
1,368926,2021-06-05 13:42:56,32.77527,-118.02823,6.0,273.6,260.0,WARSHIP 20,IMO0004371,LCS 20,35.0,0.0,128.0,32.0,0.0,35.0,A
2,311000902,2021-06-05 13:42:59,32.98715,-117.78146,1.5,336.7,332.0,APOLLO VOYAGER,IMO9878890,C6EI3,89.0,3.0,274.0,48.0,9.5,89.0,A
3,367017440,2021-06-05 13:43:03,32.98518,-117.79155,0.5,20.0,304.0,PIPER INNESS,IMO8964109,WDC3984,90.0,0.0,42.0,8.0,2.1,56.0,A
4,538006489,2021-06-05 13:43:19,32.71333,-117.68779,12.2,152.9,152.0,SILVER EUPLECTA,IMO9692349,V7IW6,80.0,0.0,183.0,32.0,13.3,80.0,A
5,563045300,2021-06-05 13:43:33,32.91882,-117.84061,0.6,68.4,153.0,EAGLE BARCELONA,IMO9795048,9V5377,80.0,0.0,250.0,44.0,14.3,80.0,A
6,538006447,2021-06-05 13:43:36,32.81334,-117.75964,10.0,152.5,153.0,GENER8 MILTIADES,IMO9727039,V7NH4,,0.0,,,,80.0,A
7,368926,2021-06-05 13:44:00,32.77514,-118.03026,5.7,257.8,260.0,WARSHIP 20,IMO0004371,LCS 20,35.0,0.0,128.0,32.0,0.0,35.0,A
8,311000902,2021-06-05 13:44:08,32.98761,-117.78172,1.5,338.2,332.0,APOLLO VOYAGER,IMO9878890,C6EI3,89.0,3.0,274.0,48.0,9.5,89.0,A
9,367017440,2021-06-05 13:44:13,32.98531,-117.79148,0.6,22.5,303.0,PIPER INNESS,IMO8964109,WDC3984,90.0,0.0,42.0,8.0,2.1,56.0,A
10,538006489,2021-06-05 13:44:20,32.71031,-117.68594,12.2,152.4,152.0,SILVER EUPLECTA,IMO9692349,V7IW6,80.0,0.0,183.0,32.0,13.3,80.0,A
11,563045300,2021-06-05 13:44:42,32.91883,-117.84052,0.2,91.6,153.0,EAGLE BARCELONA,IMO9795048,9V5377,80.0,0.0,250.0,44.0,14.3,80.0,A
12,538006447,2021-06-05 13:44:47,32.81038,-117.75785,10.0,152.6,153.0,GENER8 MILTIADES,IMO9727039,V7NH4,,0.0,,,,80.0,A
13,368926,2021-06-05 13:45:03,32.77503,-118.03227,5.8,264.5,260.0,WARSHIP 20,IMO0004371,LCS 20,35.0,0.0,128.0,32.0,0.0,35.0,A
14,338336268,2021-06-05 13:45:04,32.69154,-117.57685,28.0,277.4,511.0,R/V BEYSTER,IMO0000000,,59.0,,13.0,5.0,,,B
15,311000902,2021-06-05 13:45:29,32.98811,-117.78198,1.4,338.5,332.0,APOLLO VOYAGER,IMO9878890,C6EI3,89.0,3.0,274.0,48.0,9.5,89.0,A
16,538006489,2021-06-05 13:45:30,32.70678,-117.6838,12.2,152.6,152.0,SILVER EUPLECTA,IMO9692349,V7IW6,80.0,0.0,183.0,32.0,13.3,80.0,A
17,367017440,2021-06-05 13:45:32,32.98545,-117.79144,0.6,8.7,297.0,PIPER INNESS,IMO8964109,WDC3984,90.0,0.0,42.0,8.0,2.1,56.0,A
18,563045300,2021-06-05 13:45:54,32.91883,-117.84044,0.1,93.0,153.0,EAGLE BARCELONA,IMO9795048,9V5377,80.0,0.0,250.0,44.0,14.3,80.0,A
19,538006447,2021-06-05 13:45:57,32.8075,-117.75613,10.0,152.7,153.0,GENER8 MILTIADES,IMO9727039,V7NH4,,0.0,,,,80.0,A
20,368926,2021-06-05 13:46:06,32.7749,-118.03431,5.8,265.0,260.0,WARSHIP 20,IMO0004371,LCS 20,35.0,0.0,128.0,32.0,0.0,35.0,A
21,367017440,2021-06-05 13:46:33,32.98556,-117.79139,0.1,6.8,294.0,PIPER INNESS,IMO8964109,WDC3984,90.0,0.0,42.0,8.0,2.1,56.0,A
22,338336268,2021-06-05 13:46:36,32.69314,-117.59062,28.0,278.7,511.0,R/V BEYSTER,IMO0000000,,59.0,,13.0,5.0,,,B
23,311000902,2021-06-05 13:46:38,32.98855,-117.78217,1.4,337.9,332.0,APOLLO VOYAGER,IMO9878890,C6EI3,89.0,3.0,274.0,48.0,9.5,89.0,A
24,538006489,2021-06-05 13:46:41,32.7032,-117.68165,12.2,153.0,152.0,SILVER EUPLECTA,IMO9692349,V7IW6,80.0,0.0,183.0,32.0,13.3,80.0,A
