,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
0,367163190,2021-06-04 01:48:57,34.16995,-119.22911,0.0,61.9,511.0,SANCERRE,IMO0000000,,36.0,,14.0,5.0,,,B
1,338302249,2021-06-04 01:48:59,34.24135,-119.2614,0.0,291.7,511.0,VALHOWELL,IMO0000000,,36.0,,16.0,2.0,,,B
2,338199909,2021-06-04 01:49:04,33.85582,-119.80386,8.2,169.2,511.0,ZERO GRAVITY,IMO0000000,,36.0,,12.0,4.0,,,B
3,338326252,2021-06-04 01:49:04,34.25229,-119.2671,0.0,360.0,511.0,VENTURA H. PTRL17,IMO0000000,,51.0,,10.0,4.0,,,B
4,368105150,2021-06-04 01:49:05,34.16685,-119.22413,0.0,360.0,511.0,BLUE,IMO0000000,WDK9606,37.0,,14.0,6.0,,,B
5,367025890,2021-06-04 01:49:08,33.82737,-119.78539,5.9,159.6,139.0,CIPANGO,IMO0000000,WDC4515,37.0,,15.0,2.0,,,B
6,367678360,2021-06-04 01:49:11,33.74571,-119.96262,11.8,166.8,511.0,CHIM CHIM,,WDI2458,37.0,,18.0,8.0,,,B
7,366955790,2021-06-04 01:49:12,34.18185,-119.22525,0.0,0.0,511.0,SCOUT,,WDB8263,37.0,,18.0,5.0,,,B
8,367743280,2021-06-04 01:49:12,33.85524,-119.83327,8.5,118.9,511.0,BRIGADOON,,WDI8900,37.0,,,,,,B
9,368060440,2021-06-04 01:49:12,33.84935,-119.80231,7.3,102.1,102.0,KATARA,IMO0000000,WDK4978,36.0,,9.0,2.0,,,B
10,338321229,2021-06-04 01:49:13,34.17417,-119.22831,0.0,268.2,511.0,WINDFALL,IMO0000000,,36.0,,14.0,6.0,,,B
11,368114080,2021-06-04 01:49:13,34.16672,-119.22342,0.0,360.0,183.0,M/Y MILAGRO,IMO0000000,1294019,37.0,,22.0,6.0,,,B
12,367342840,2021-06-04 01:49:13,34.16888,-119.22202,0.0,272.7,511.0,DIVA,,WDE3692,30.0,,15.0,5.0,,,B
13,338392023,2021-06-04 01:49:13,34.17912,-119.22215,0.0,223.9,511.0,REEL BUSY,IMO0000000,,30.0,,0.0,0.0,,,B
14,368167080,2021-06-04 01:49:23,33.85748,-119.87545,6.1,193.6,511.0,WILDCARD,IMO0000000,WDL8170,36.0,,11.0,3.0,,,B
15,368052510,2021-06-04 01:49:24,34.16364,-119.22311,0.0,74.2,511.0,GENTLEMAN,IMO0000000,WDK4166,60.0,,8.0,4.0,,,B
16,338332375,2021-06-04 01:49:25,34.1769,-119.22479,0.0,360.0,511.0,NICE DREAMS,IMO0000000,,37.0,,12.0,4.0,,,B
17,338345406,2021-06-04 01:49:26,34.24764,-119.26557,0.0,360.0,511.0,S/V SURPRISE,IMO0000000,,36.0,,12.0,4.0,,,B
18,367467650,2021-06-04 01:49:29,34.2453,-119.26363,0.0,21.6,511.0,R SEA KAT,,WDF5829,37.0,,12.0,6.0,,,B
19,338341000,2021-06-04 01:49:34,34.14963,-119.55001,7.6,102.7,104.0,HARVEY CHALLENGER,IMO9780835,WDI2331,90.0,0.0,60.0,,,70.0,A
20,367770690,2021-06-04 01:49:34,34.17925,-119.22342,0.0,72.5,511.0,KIDS STUFF,,WDJ3720,37.0,,,,,,B
21,338128163,2021-06-04 01:49:35,34.24357,-119.26305,0.0,179.5,511.0,GRATITUDE,IMO0000000,,37.0,,15.0,4.0,,,B
22,338164033,2021-06-04 01:49:37,34.17913,-119.22347,0.0,190.5,511.0,AFTER MIDNIGHT,,,30.0,,21.0,,,,B
23,367646340,2021-06-04 01:49:40,33.77096,-120.08085,10.3,192.8,190.0,OAXACA,,WDH7251,37.0,,15.0,,,,B
