,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
0,538007482,2021-01-05 01:48:06,33.7619,-118.2759,0.0,193.0,334.0,HYUNDAI FORWARD,IMO9330707,V7PX2,70.0,5.0,295.0,32.0,11.9,70.0,A
1,538004167,2021-01-05 01:48:07,33.7657,-118.26018,0.0,191.0,177.0,ARGENT IRIS,IMO9459280,V7VN7,80.0,5.0,174.0,27.0,11.4,80.0,A
2,367452280,2021-01-05 01:48:08,33.72512,-118.19834,7.4,85.9,511.0,LAGUNA,,WDF4470,31.0,5.0,20.0,7.0,,,A
3,538007628,2021-01-05 01:48:08,33.73215,-118.17416,8.5,80.4,81.0,,,,,0.0,,,,,A
4,338322293,2021-01-05 01:48:09,33.72491,-118.07309,0.0,360.0,511.0,SEAS THE DAY,IMO0000000,,37.0,,12.0,4.0,,,B
5,311044100,2021-01-05 01:48:09,33.70259,-118.21693,0.2,148.4,265.0,,,,,1.0,,,,,A
6,367395280,2021-01-05 01:48:10,33.73193,-118.26423,0.0,153.7,220.0,CLEAN OCEAN,IMO9202352,WDE7605,90.0,0.0,44.0,10.0,3.0,90.0,A
7,368024590,2021-01-05 01:48:10,33.724,-118.2809,0.1,300.3,511.0,BOTTOM SCRATCHER,IMO0000000,WDJ9293,34.0,,21.0,6.0,,,B
8,367569830,2021-01-05 01:48:10,33.73185,-118.17596,8.6,80.6,77.0,ROBERT FRANCO,IMO9694311,WDG7687,31.0,0.0,31.0,12.0,,,A
9,367719100,2021-01-05 01:48:10,33.77182,-118.21976,0.0,252.9,239.0,,,,,0.0,,,,,A
10,368064650,2021-01-05 01:48:11,33.72366,-118.27981,0.0,360.0,511.0,,,,,15.0,,,,,A
11,355442000,2021-01-05 01:48:12,33.72969,-118.17215,0.1,274.7,249.0,CABO SAN ANTONIO,IMO9346469,H9MF,89.0,1.0,228.0,33.0,12.7,89.0,A
12,338380055,2021-01-05 01:48:12,33.71842,-118.27809,0.0,237.7,511.0,THE REAGAN YEARS,IMO0000000,,37.0,,22.0,6.0,,,B
13,367049470,2021-01-05 01:48:12,33.76267,-118.26568,0.0,266.3,511.0,STEPHEN M WHITE,,WCU6542,90.0,15.0,15.0,4.0,,,A
14,367760290,2021-01-05 01:48:13,33.7476,-118.21567,0.0,111.1,284.0,FIREBOAT 15,,WDJ2641,90.0,0.0,,,,,A
15,366755010,2021-01-05 01:48:15,33.74702,-118.21855,1.5,133.1,166.0,MASTER,IMO9188532,WCY6528,31.0,0.0,32.0,10.0,6.8,52.0,A
16,338207261,2021-01-05 01:48:15,33.72346,-118.06308,0.0,360.0,511.0,TRUE GRIT,IMO0000000,,37.0,,13.0,5.0,,,B
17,338145832,2021-01-05 01:48:15,33.74891,-118.11424,0.0,233.9,511.0,HAPPY DAYS,,,37.0,,19.0,,,,B
18,338209202,2021-01-05 01:48:16,33.84974,-118.39707,0.0,360.0,511.0,GEORGIA GAYLE,,,37.0,,7.0,,,,B
19,367414180,2021-01-05 01:48:17,33.65847,-118.03518,18.6,315.3,511.0,VALKYRIE,,WDE9156,37.0,,,,,,B
20,368048380,2021-01-05 01:48:17,33.75135,-118.11024,0.0,315.8,511.0,TAVISH B.,IMO0000000,WDK3754,37.0,,12.0,4.0,,,B
21,636019206,2021-01-05 01:48:18,33.66976,-118.15532,0.1,187.3,256.0,,,,,1.0,,,,,A
22,367754970,2021-01-05 01:48:18,33.43734,-118.57501,8.7,164.6,511.0,EMMA RAY,IMO0000000,WDJ2072,30.0,,10.0,4.0,,,B
23,366951730,2021-01-05 01:48:18,33.73134,-118.08657,0.0,179.6,269.0,JEFFREY M,,WSX6846,31.0,15.0,23.0,6.0,,52.0,A
24,368141530,2021-01-05 01:48:19,33.75264,-118.11767,0.0,360.0,511.0,JOINT VENTURE,IMO0000000,WDL5483,37.0,,15.0,6.0,,,B
25,636091273,2021-01-05 01:48:20,33.76749,-118.23726,0.0,244.2,72.0,NAJADE,IMO9326706,A8LL4,70.0,5.0,215.0,29.0,11.6,,A
26,366979370,2021-01-05 01:48:20,33.77064,-118.21257,0.0,279.3,245.0,EDITH FOSS,IMO7932355,WYQ8798,31.0,5.0,23.0,8.0,,,A
27,367616390,2021-01-05 01:48:20,33.71757,-118.27903,0.0,230.4,511.0,DOOR PRIZE,,WDH4311,37.0,,18.0,,,,B
28,367599960,2021-01-05 01:48:21,33.72068,-118.27816,0.0,83.3,511.0,THE REAGAN YEARS,,WDH2666,37.0,,14.0,4.0,,,B
29,367199310,2021-01-05 01:48:22,33.76304,-118.19946,0.0,279.4,511.0,CATALINA JET,IMO8994142,WDD8449,60.0,15.0,43.0,11.0,1.6,40.0,A
30,367733880,2021-01-05 01:48:22,33.72368,-118.07131,0.0,360.0,511.0,HIGH PRYORITY,,WDI7956,37.0,0.0,,,,,A
31,367471080,2021-01-05 01:48:23,33.66166,-118.06164,1.0,257.8,511.0,ISABEL L,,WDF6141,60.0,0.0,27.0,5.0,,,A
32,338326628,2021-01-05 01:48:23,33.74927,-118.1135,0.0,105.0,511.0,SUSIE Q,IMO0000000,,37.0,,19.0,5.0,,,B
33,249577000,2021-01-05 01:48:26,33.77031,-118.22485,0.0,329.5,57.0,MINDORO,IMO9389095,9HA4295,80.0,5.0,243.0,42.0,15.1,89.0,A
34,353243000,2021-01-05 01:48:26,33.56321,-118.39501,7.2,99.7,98.0,GLORIOUS FUJI,IMO9641780,3EVV4,70.0,0.0,180.0,30.0,8.8,70.0,A
